Class Level1|Class Level2|Product Family|Product Number|Product Description|Manufacturer|Manufacturer Product Number|Minimum Order Quantity|Multiple Order Quantity|List Price|HCPC|RXTYPE|Most Popular|Focus 600|Latex Free|Base UoM|Sales UoM|Case Packaging|HCPC Documents|HRE Documents|LRE Documents|MSD Sheets|Marketing Documents|Primary Documents|Videos|Detailed Product Description|Product Web Description|Corp Designation|Product Division|Substitute Material 1|Substitution Code 1|Substitute Material 2|Substitution Code 2|Substitute Material 3|Substitution Code 3|EAN/UPC Code|EAN Category|Dimensions|Gross Weight|Unit Weight|Parent Material|																					
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|1007|O2 MASK	REBREATH	ADULT	7' TUB SC	OUS|MEDLINE|1007|0.000EA|1.000CS|101.18 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/100/1007_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear	 soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.100LB	 0.030CF PER CS|0.190 |LB|HUD1007|															
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|1009|O2 MASK	REBREATH	SHORT	AD	7' TUB SC	OUS|MEDLINE|1009|0.000EA|1.000CS|392.64 |A4620|RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/100/1009_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear	 soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.189LB	 0.029CF PER CS|0.189 |LB|HUD1009|														
Respiratory|Oxygen Therapy|High-Concentration Oxygen Mask by Telefl|1011|O2 MASK	REBREATH	PEDI	7' TUB SC	OUS|MEDLINE|1011|0.000EA|1.000CS|235.91 |A4620|RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/101/1011_PRI01.JPG|||<ul><li>Patient comfort and easy visual assessment with clear	 soft vinyl material and adjustable noseclip</li><li>Under-the-chin design for excellent fit on wide range of face sizes</li><li>Adapter swivels toaccommodate patient position</li><li>Complete with 7-ft oxygen supply tubing</li><li>750-mL reservoirbag</li></ul>||35|||||||||0.150LB	 0.030CF PER CS|0.150 |LB|HUD1011|															
Respiratory|Oxygen Therapy|Medium-Concentration Oxygen Masks by Tel|1035|O2 MASK	MED CONC	SHORT	PED	7' TUB SC	OUS|MEDLINE|1035|0.000EA|1.000CS|88.27 |A4620|RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/103/1035_PRI01.JPG|||<ul><li> Soft vinyl face piece and oxygen inlet with barbed barrel designed to firmly grasp oxygenline</li><li> Adjustable nose clip for comfortable fit</li><li> Wide elastic band to fit a variety of headsizes</li></ul>||35|||||||||0.019LB	 0.025CF PER CS|0.019 |LB|HUD1035|															
Respiratory|Oxygen Therapy|Medium-Concentration Oxygen Masks by Tel|1040|O2 MASK	MED CONC	SHORT	AD	7' TUB SC	OUS|MEDLINE|1040|0.000EA|1.000CS|97.51 |A4620|RV||||EA|CS|50 Each / Case 	 1 Carton / Case||||||http://www.medline.com/media/catalog/sku/104/1040_PRI01.JPG|||<ul><li> Soft vinyl face piece and oxygen inlet with barbed barrel designed to firmly grasp oxygenline</li><li> Adjustable nose clip for comfortable fit</li><li> Wide elastic band to fit a variety of headsizes</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.169 |LB|HUD1040|														
Excluded Items|European/International Items|European/International Items|1041|MASK	OXYGEN	UND CHIN	MED CONC ADULT	OUS|TELEFLEX MEDICAL|1041|0.000PAK|1.000CS|53.73 ||RV|||Yes|PK|CS|50 Each / Case 	 50 Pack / Case|||||||||||35|||||||||0.001LB	 0.027CF PER CS|0.001 |LB|1041              |															
Respiratory|Oxygen Therapy|Pediatric Medium Concentration Masks|1042|O2 MASK	MED CONC	PEDI	7' TUB SC	OUS|MEDLINE|1042|0.000EA|1.000CS|72.27 |A4620|RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/104/1042_PRI01.JPG|||<ul><li> Under-the-chin design for excellent fit on wide range of face sizes</li><li> Clear	 soft vinyl forpatient comfort and visual assessment</li><li> Adjustable nose clip assures comfortable fit</li><li>Complete with 7' Star Lumen Oxygen Supply Tubing</li></ul>||35|||||||||0.151LB	 0.030CF PER CS|0.151 |LB|HUD1042|															
Respiratory|Oxygen Therapy|Adult Concentration Mask w/o Tubing by T|1048|O2 MASK	MED CONC	SHORT	ADULT	NO TUB 	OUS|MEDLINE|1048|0.000EA|1.000CS|177.16 ||RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/104/1048_PRI01.JPG|||<ul><li> Clear	 soft vinyl mask designed for patient comfort and visual patient assessment</li><li>Adjustable nose clip for comfortable fit</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.091 |LB|HUD1048|														
Respiratory|Oxygen Therapy|Elongated Concentration Masks w/o Tubing|1049|O2 MASK	MED CONC	ADULT	NO TUBING 	OUS|MEDLINE|1049|0.000EA|1.000CS|95.58 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/104/1049_PRI01.JPG|||<ul> <li>Under-the-chin design for excellent fit on a wide variety of face sizes </li> <li>Clear	 softvinyl for patient comfort and visual patient assessment </li> <li>Adjustable nose clip assures comfortablefit</li> </ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1049|															
Respiratory|Oxygen Therapy|Elongated Concentration Masks w/o Tubing|1050|O2 MASK	MED CONC	PEDI	NO TUBING 	OUS|MEDLINE|1050|0.000EA|1.000CS|121.40 ||RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/105/1050_PRI01.JPG|||<ul> <li>Under-the-chin design for excellent fit on a wide variety of face sizes </li> <li>Clear	 softvinyl for patient comfort and visual patient assessment </li> <li>Adjustable nose clip assures comfortablefit</li> </ul>||35|||||||||0.060LB	 0.011CF PER CS|0.060 |LB|HUD1050|															
Respiratory|Oxygen Therapy|Non-Rebreather Oxygen Masks by Teleflex|1058|O2 MASK	NOREB W/SAFETY	PED	7' TUB SC	OUS|MEDLINE|1058|0.000EA|1.000CS|123.60 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/105/D1200012663356817_190520231007.jpg|||<ul><li> Masks are made of clear	 soft vinyl for patient comfort and easy visual patient assessment</li><li> Low-resistance check valves help prevent rebreathing and allow exhaled gas to escape</li><li>Adjustable nose clip helps ensure a comfortable fit</li></ul>||35|||||||||0.150LB	 0.025CF PER CS|0.150 |LB|HUD1058|															
Respiratory|Oxygen Therapy|Non-Rebreather Oxygen Masks by Teleflex|1059|O2 MASK	NOREB W/SAFETY	AD	7' TUB SC	OUS|MEDLINE|1059|0.000EA|1.000CS|107.89 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/105/1059_PRI01.JPG|||<ul><li> Masks are made of clear	 soft vinyl for patient comfort and easy visual patient assessment</li><li> Low-resistance check valves help prevent rebreathing and allow exhaled gas to escape</li><li>Adjustable nose clip helps ensure a comfortable fit</li></ul>||35|||||||||0.191LB	 0.030CF PER CS|0.191 |LB|HUD1059|															
