Class Level1|Class Level2|Product Family|Product Number|Product Description|Manufacturer|Manufacturer Product Number|Minimum Order Quantity|Multiple Order Quantity|List Price|HCPC|RXTYPE|Most Popular|Focus 600|Latex Free|Base UoM|Sales UoM|Case Packaging|HCPC Documents|HRE Documents|LRE Documents|MSD Sheets|Marketing Documents|Primary Documents|Videos|Detailed Product Description|Product Web Description|Corp Designation|Product Division|Substitute Material 1|Substitution Code 1|Substitute Material 2|Substitution Code 2|Substitute Material 3|Substitution Code 3|EAN/UPC Code|EAN Category|Dimensions|Gross Weight|Unit Weight|Parent Material|
|||00-24GP-240|DRILL PIN, SUTURE GUIDE, 2.4MM|MARUHO MEDICAL INC|00-24GP-240|1.000EA|1.000EA|666.67 ||OV|||Yes|EA|EA|1 Each / Each||||||||||CTM|42|||||||||0.100LB, 0.014CF PER|0.100 |LB|00-24GP-240|
Excluded Items|Custom Items|Custom Items|00-398650AJ|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-398650AJ|0.000EA|1.000CS|628.36 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|6 Each / Case||||||||||CTM|22|||||||10195327330903|Z1|4.628 LB, CF PER CS|4.383 |LB|00-398650AJ|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Cath Lab Packs|00-398712S|ANGIOGRAPHY DRAPE PK|MEDLINE|00-398712S|0.000EA|1.000CS|594.82 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|||||EA|CS|5 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|||||||10888277039216|Z1|4.365LB, 1.269CF PER CS|4.365 |LB|00-398712S|
Excluded Items|Custom Items|Custom Items|00-398725AN|CATH LAB PACK|MEDLINE|00-398725AN|0.000EA|1.000CS|437.04 ||RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10193489944242|Z1|5.457LB, 0CF PER CS|5.457 |LB|00-398725AN|
Excluded Items|Custom Items|Custom Items|00-399024AB|SPECIAL PROCEDURE PACK ARTERI|MEDLINE|00-399024AB|0.000EA|1.000CS|933.36 ||RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10195327074760|Z1|6.528 LB, CF PER CS|6.528 |LB|00-399024AB|
Excluded Items|Custom Items|Custom Items|00-399025L|MYELOGRAM PACK|MEDLINE|00-399025L|0.000EA|1.000CS|700.24 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|20 Each / Case||||||||||CTM|22|||||||10889942924936|Z1|0.885LB, 0.226CF PER CS|0.885 |LB|00-399025L|
Excluded Items|Custom Items|Custom Items|00-399027M|ARTHROGRAPHY DRAPE PACK|MEDLINE|00-399027M|0.000EA|1.000CS|814.89 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|24 Each / Case||||||||||CTM|22|||||||10889942924943|Z1|1.166LB, 0.189CF PER CS|1.166 |LB|00-399027M|
Excluded Items|Custom Items|Custom Items|00-399227G|BIOPSY PROCEDURE PACK|MEDLINE|00-399227G|0.000EA|1.000CS|226.47 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|20 Each / Case||||||||||CTM|22|||||||10888277775541|Z1|0.614LB, 0.138CF PER CS|0.614 |LB|00-399227G|
Excluded Items|Custom Items|Custom Items|00-399360K|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-399360K|0.000EA|1.000CS|546.84 ||RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||||7.070LB, 0.901CF PER CS|7.070 |LB|00-399360K|
Excluded Items|Custom Items|Custom Items|00-399607N|BIOPSY PROCEDURE PACK|MEDLINE|00-399607N|0.000EA|1.000CS|1163.27 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|46 Each / Case||||||||||CTM|22|||||||10889942862061|Z1|0.972LB, 0.111CF PER CS|0.972 |LB|00-399607N|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angio Drape Pack|00-399734N|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-399734N|0.000EA|1.000CS|482.84 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10889942485857|Z1|6.949LB, 1.472CF PER CS|6.949 |LB|00-399734N|
|||00-400065L|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-400065L|0.000EA|1.000CS|470.36 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|5 Each / Case||||||||||CTM|22|||||||10195327377397|Z1|6.402 LB, CF PER CS|6.402 |LB|00-400065L|
Awaiting Classification|Pending PF Assignment|Pending PF Assignment|00-400069G|ANGIO PROCEDURE PACK|MEDLINE|00-400069G|0.000EA|1.000CS|751.18 ||RV|||Yes|EA|CS|6 Each / Case||||||||||CTM|22|||||||10195327016388|Z1|5.930 LB, CF PER CS|5.930 |LB|00-400069G|
Excluded Items|Custom Items|Custom Items|00-400123AF|ANGIOGRAPHY DRAPE PACK PTCA|MEDLINE|00-400123AF|0.000EA|1.000CS|532.29 ||RV|||Yes|EA|CS|3 Each / Case||||||||||CTM|22|||||||10195327134358|Z1|6.847 LB, CF PER CS|6.847 |LB|00-400123AF|
Excluded Items|Custom Items|Custom Items|00-400162J|BIOPSY PROCEDURE PACK|MEDLINE|00-400162J|0.000EA|1.000CS|495.02 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|40 Each / Case||||||||||CTM|22|||||||10889942744435|Z1|0.625LB, 0.168CF PER CS|0.625 |LB|00-400162J|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Angio Procedure Pack|00-400290D|ANGIO PROCEDURE PACK|MEDLINE|00-400290D|0.000EA|1.000CS|155.69 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|10 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10884389000137|Z1|0.600LB, 0.129CF PER CS|0.600 |LB|00-400290D|
Excluded Items|Custom Items|Custom Items|00-400305R|ANGIOGRAPHY DRAPE PACK|MEDLINE|00-400305R|0.000EA|1.000CS|668.09 ||RV|||Yes|EA|CS|8 Each / Case||||||||||CTM|22|||||||10193489944280|Z1|4.275LB, 0CF PER CS|4.275 |LB|00-400305R|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Pacemaker Pack|00-400361J|PERMANENT PACING|MEDLINE|00-400361J|0.000EA|1.000CS|472.38 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|||||EA|CS|6 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money</li><li> Single use to preventcross contamination</li></ul>|CTM|22|||||||10888277039001|Z1|4.080LB, 0.496CF PER CS|4.080 |LB|00-400361J|
OR & Surgery Supplies|Sterile Procedure Packs|Custom Biopsy Packs/Trays|00-400405C|BIOPSY PROCEDURE TRAY|MEDLINE|00-400405C|0.000EA|1.000CS|182.11 |NO CODE - PRODUCT DOES NOT MEET HCPCS SPECIFICATIONS|RV|||Yes|EA|CS|10 Each / Case|||||||||<ul><li> Custom kits reduce inventory management, saving time and money<br /></li><li> Single use toprevent cross contamination</li></ul>|CTM|22|NOXREF|XREF|||||10080196000142|Z1|0.866LB, 0.269CF PER CS|0.866 |LB|00-400405C|
